,Unnamed: 0,User ID,Trump,Biden,Democratic,Republican,Label
76,76,464731319,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
77,77,17257950,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
78,78,1039327416206819328,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
79,79,1062056183832477697,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
80,80,3111557535,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
81,81,2363731423,Dislike,Non-mentioned,Non-mentioned,Like,Neutral
82,82,23452572,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
83,83,52523912,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
84,84,324594325,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
85,85,17238367,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
86,86,9532792,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
87,87,18462462,Dislike,Dislike,Like,Non-mentioned,Neutral
88,88,9166602,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
89,89,1243273548954660864,Dislike,Non-mentioned,Dislike,Non-mentioned,Neutral
90,90,353292678,Dislike,Non-mentioned,Non-mentioned,Like,Neutral
91,91,781851014,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
92,92,18181977,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
93,93,934515625866727428,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
94,94,989946490998214656,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
95,95,1177649008682160130,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
96,96,1225894681646653444,Dislike,Like,Dislike,Non-mentioned,Neutral
97,97,1095898718304256000,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
98,98,3226213982,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
99,99,176281811,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
100,100,15786042,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
101,101,869991449684844545,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
102,102,707391512,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
103,103,1108740900962910208,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
104,104,1669988136,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
105,105,49389055,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
106,106,1231603169484058625,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
107,107,1158505307607355392,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
108,108,1216847978008391686,Dislike,Swing,Like,Non-mentioned,Neutral
109,109,822501662300504064,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
110,110,58848536,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
111,111,73453685,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
112,112,1244765385045540867,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
113,113,504008358,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
114,114,1231154878455668738,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
115,115,30691918,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
116,116,1934744792,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
117,117,15442750,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
