,User ID,Trump,Biden,Democratic,Republican,Label
77,1130751233092808705,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
78,1943767142,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
79,1877983224,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
80,418044381,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
81,1158617264905523200,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
82,33956968,Dislike,Dislike,Dislike,Non-mentioned,Counterhate
83,1030765576539582464,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
84,969394258066128896,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
85,1002590943487320071,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
86,118479402,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
87,1204834371720695808,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
88,2614845182,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
89,153781904,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
90,584940346,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
91,1144647402747551744,Dislike,Swing,Like,Non-mentioned,Counterhate
92,737974966910488577,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
93,28862856,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
94,419108411,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
95,798052052521730048,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
96,416195364,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
97,1046383627,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
98,1109964688782213120,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
99,560841580,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
100,19225938,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
101,488021643,Dislike,Dislike,Non-mentioned,Dislike,Counterhate
102,860881016843493376,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
103,166393547,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
104,1397787097,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
105,27655900,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
106,1194477505,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
107,321159181,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
108,868277079196016640,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
109,2346935718,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
110,334720078,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
111,15890781,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
112,635047898,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
113,1535871936,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
114,740241712145043456,Dislike,Non-mentioned,Non-mentioned,Dislike,Counterhate
115,2247176170,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
116,34916596,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
117,60818466,Dislike,Non-mentioned,Like,Non-mentioned,Counterhate
118,1021652940216385536,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
119,1405753658,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
120,213625224,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
