,User ID,State,County,Trump,Biden,Democratic,Republican,State Vote,County Vote,State Vote Change,County Vote Change,Label
42,8.92e+17,Virginia,Fairfax,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
43,147858358.0,California,San Francisco,Dislike,Dislike,Like,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
44,1.13e+18,California,Los Angeles,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
45,24779507.0,Colorado,Teller,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
46,9.61e+17,New York,Putnam,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
47,1136401172.0,Texas,Lamb,Dislike,Dislike,Like,Non-mentioned,Red,Red,Non-change,Non-change,Hate
48,358146696.0,Texas,Coleman,Dislike,Like,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
49,34343523.0,Georgia,Union,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Red,Change,Non-change,Hate
50,4836121729.0,Missouri,Moniteau,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
51,1.22e+18,Nevada,Clark,Dislike,Non-mentioned,Non-mentioned,Dislike,Blue,Blue,Non-change,Non-change,Hate
52,1.21e+18,New Mexico,Quay,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
53,9.93e+17,New York,Madison,Dislike,Non-mentioned,Dislike,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
54,297422449.0,Minnesota,Hennepin,Dislike,Like,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
55,1.16e+18,New York,Madison,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
56,57610849.0,Washington,Clark,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
57,3887227692.0,California,Orange,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
58,2495056922.0,California,Tulare,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
59,274701752.0,Florida,Broward,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
60,2188925538.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
61,85885274.0,Kansas,Decatur,Dislike,Non-mentioned,Dislike,Non-mentioned,Red,Red,Non-change,Non-change,Hate
62,27795511.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
63,209467518.0,California,Nevada,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
64,1.17e+18,Florida,Polk,Dislike,Like,Like,Non-mentioned,Red,Red,Non-change,Non-change,Hate
65,5562032.0,North Carolina,Wake,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
66,120338086.0,Tennessee,Hamilton,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
67,55714644.0,New York,Madison,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
68,372026124.0,Colorado,City and  of Broomfield,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
69,3022070857.0,New Mexico,Torrance,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
70,576418727.0,Texas,Gregg,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
71,324206096.0,California,San Francisco,Dislike,Like,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
72,9.86e+17,Montana,Lewis and Clark,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
73,9.86e+17,Florida,Polk,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
74,1674040128.0,Arizona,Maricopa,Dislike,Like,Non-mentioned,Non-mentioned,Blue,Blue,Change,Change,Hate
75,1.21e+18,Texas,Lamb,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
76,8.63e+17,Kansas,Decatur,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
77,1.09e+18,North Carolina,Cleveland,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
78,273768759.0,California,San Francisco,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
79,951743010.0,Washington,Thurston,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
80,26999775.0,Oklahoma,Oklahoma,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
81,2627427311.0,California,Tulare,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
82,2889024533.0,Texas,Lamb,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
83,1.14e+18,Texas,Houston,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
84,9.15e+17,Washington,King,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
85,3429119674.0,Florida,Polk,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
86,9.18e+17,Texas,Coleman,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
87,1514486756.0,West Virginia,Jefferson,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
88,1.13e+18,Colorado,Teller,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
89,410133038.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
90,366838310.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
91,2938584851.0,Kansas,Decatur,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
92,3158359980.0,Nebraska,Loup,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
93,14167417.0,Minnesota,Lyon,Dislike,Swing,Non-mentioned,Like,Blue,Red,Non-change,Non-change,Hate
94,8.24e+17,Texas,Denton,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
95,1.25e+18,Georgia,Richmond,Dislike,Swing,Non-mentioned,Dislike,Blue,Blue,Change,Non-change,Hate
96,601553651.0,New York,Oneida,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
97,1.02e+18,Florida,Palm Beach,Dislike,Non-mentioned,Non-mentioned,Like,Red,Blue,Non-change,Non-change,Hate
98,32951070.0,Colorado,Parker,Non-mentioned,Like,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
99,79360614.0,Florida,Orange,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
100,1.13e+18,Texas,Houston,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
101,218768171.0,Indiana,Marion,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
102,1368673652.0,Florida,Orange,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
103,2306059830.0,Kansas,Decatur,Dislike,Like,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
104,613245319.0,Texas,Houston,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
105,3542678539.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
106,242104442.0,Colorado,Mesa,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
107,1.19e+18,Kansas,Decatur,Dislike,Swing,Like,Swing,Red,Red,Non-change,Non-change,Hate
108,1.19e+18,Texas,Coleman,Dislike,Swing,Like,Swing,Red,Red,Non-change,Non-change,Hate
