,Election Year,State,State Vote,County,County Vote
0,2016,Alabama,Red,Autauga,Red
1,2016,Alabama,Red,Baldwin,Red
2,2016,Alabama,Red,Barbour,Red
3,2016,Alabama,Red,Bibb,Red
4,2016,Alabama,Red,Blount,Red
5,2016,Alabama,Red,Bullock,Blue
6,2016,Alabama,Red,Butler,Red
7,2016,Alabama,Red,Calhoun,Red
8,2016,Alabama,Red,Chambers,Red
9,2016,Alabama,Red,Cherokee,Red
10,2016,Alabama,Red,Chilton,Red
11,2016,Alabama,Red,Choctaw,Red
12,2016,Alabama,Red,Clarke,Red
13,2016,Alabama,Red,Clay,Red
14,2016,Alabama,Red,Cleburne,Red
15,2016,Alabama,Red,Coffee,Red
16,2016,Alabama,Red,Colbert,Red
17,2016,Alabama,Red,Conecuh,Red
18,2016,Alabama,Red,Coosa,Red
19,2016,Alabama,Red,Covington,Red
20,2016,Alabama,Red,Crenshaw,Red
21,2016,Alabama,Red,Cullman,Red
22,2016,Alabama,Red,Dale,Red
23,2016,Alabama,Red,Dallas,Blue
24,2016,Alabama,Red,DeKalb,Red
25,2016,Alabama,Red,Elmore,Red
26,2016,Alabama,Red,Escambia,Red
27,2016,Alabama,Red,Etowah,Red
28,2016,Alabama,Red,Fayette,Red
29,2016,Alabama,Red,Franklin,Red
30,2016,Alabama,Red,Geneva,Red
31,2016,Alabama,Red,Greene,Blue
32,2016,Alabama,Red,Hale,Blue
33,2016,Alabama,Red,Henry,Red
34,2016,Alabama,Red,Houston,Red
35,2016,Alabama,Red,Jackson,Red
36,2016,Alabama,Red,Jefferson,Blue
37,2016,Alabama,Red,Lamar,Red
38,2016,Alabama,Red,Lauderdale,Red
39,2016,Alabama,Red,Lawrence,Red
40,2016,Alabama,Red,Lee,Red
41,2016,Alabama,Red,Limestone,Red
42,2016,Alabama,Red,Lowndes,Blue
43,2016,Alabama,Red,Macon,Blue
44,2016,Alabama,Red,Madison,Red
45,2016,Alabama,Red,Marengo,Blue
46,2016,Alabama,Red,Marion,Red
47,2016,Alabama,Red,Marshall,Red
48,2016,Alabama,Red,Mobile,Red
49,2016,Alabama,Red,Monroe,Red
50,2016,Alabama,Red,Montgomery,Blue
51,2016,Alabama,Red,Morgan,Red
52,2016,Alabama,Red,Perry,Blue
53,2016,Alabama,Red,Pickens,Red
54,2016,Alabama,Red,Pike,Red
55,2016,Alabama,Red,Randolph,Red
56,2016,Alabama,Red,Russell,Blue
57,2016,Alabama,Red,St. Clair,Red
58,2016,Alabama,Red,Shelby,Red
59,2016,Alabama,Red,Sumter,Blue
60,2016,Alabama,Red,Talladega,Red
61,2016,Alabama,Red,Tallapoosa,Red
62,2016,Alabama,Red,Tuscaloosa,Red
63,2016,Alabama,Red,Walker,Red
64,2016,Alabama,Red,Washington,Red
65,2016,Alabama,Red,Wilcox,Blue
66,2016,Alabama,Red,Winston,Red
67,2016,Arizona,Red,Apache,Blue
68,2016,Arizona,Red,Cochise,Red
69,2016,Arizona,Red,Coconino,Blue
70,2016,Arizona,Red,Gila,Red
71,2016,Arizona,Red,Graham,Red
72,2016,Arizona,Red,Greenlee,Red
73,2016,Arizona,Red,La Paz,Red
74,2016,Arizona,Red,Maricopa,Red
75,2016,Arizona,Red,Mohave,Red
76,2016,Arizona,Red,Navajo,Red
77,2016,Arizona,Red,Pima,Blue
78,2016,Arizona,Red,Pinal,Red
79,2016,Arizona,Red,Santa Cruz,Blue
80,2016,Arizona,Red,Yavapai,Red
81,2016,Arizona,Red,Yuma,Red
82,2016,Arkansas,Red,Arkansas,Red
83,2016,Arkansas,Red,Ashley,Red
84,2016,Arkansas,Red,Baxter,Red
85,2016,Arkansas,Red,Benton,Red
86,2016,Arkansas,Red,Boone,Red
87,2016,Arkansas,Red,Bradley,Red
88,2016,Arkansas,Red,Calhoun,Red
89,2016,Arkansas,Red,Carroll,Red
90,2016,Arkansas,Red,Chicot,Blue
91,2016,Arkansas,Red,Clark,Red
92,2016,Arkansas,Red,Clay,Red
93,2016,Arkansas,Red,Cleburne,Red
94,2016,Arkansas,Red,Cleveland,Red
95,2016,Arkansas,Red,Columbia,Red
96,2016,Arkansas,Red,Conway,Red
97,2016,Arkansas,Red,Craighead,Red
98,2016,Arkansas,Red,Crawford,Red
99,2016,Arkansas,Red,Crittenden,Blue
100,2016,Arkansas,Red,Cross,Red
101,2016,Arkansas,Red,Dallas,Red
102,2016,Arkansas,Red,Desha,Blue
103,2016,Arkansas,Red,Drew,Red
104,2016,Arkansas,Red,Faulkner,Red
105,2016,Arkansas,Red,Franklin,Red
106,2016,Arkansas,Red,Fulton,Red
107,2016,Arkansas,Red,Garland,Red
108,2016,Arkansas,Red,Grant,Red
109,2016,Arkansas,Red,Greene,Red
110,2016,Arkansas,Red,Hempstead,Red
111,2016,Arkansas,Red,Hot Spring,Red
112,2016,Arkansas,Red,Howard,Red
113,2016,Arkansas,Red,Independence,Red
114,2016,Arkansas,Red,Izard,Red
115,2016,Arkansas,Red,Jackson,Red
116,2016,Arkansas,Red,Jefferson,Blue
117,2016,Arkansas,Red,Johnson,Red
118,2016,Arkansas,Red,Lafayette,Red
119,2016,Arkansas,Red,Lawrence,Red
120,2016,Arkansas,Red,Lee,Blue
121,2016,Arkansas,Red,Lincoln,Red
122,2016,Arkansas,Red,Little River,Red
123,2016,Arkansas,Red,Logan,Red
124,2016,Arkansas,Red,Lonoke,Red
125,2016,Arkansas,Red,Madison,Red
126,2016,Arkansas,Red,Marion,Red
127,2016,Arkansas,Red,Miller,Red
128,2016,Arkansas,Red,Mississippi,Red
129,2016,Arkansas,Red,Monroe,Red
130,2016,Arkansas,Red,Montgomery,Red
131,2016,Arkansas,Red,Nevada,Red
132,2016,Arkansas,Red,Newton,Red
133,2016,Arkansas,Red,Ouachita,Red
134,2016,Arkansas,Red,Perry,Red
135,2016,Arkansas,Red,Phillips,Blue
136,2016,Arkansas,Red,Pike,Red
137,2016,Arkansas,Red,Poinsett,Red
138,2016,Arkansas,Red,Polk,Red
139,2016,Arkansas,Red,Pope,Red
140,2016,Arkansas,Red,Prairie,Red
141,2016,Arkansas,Red,Pulaski,Blue
142,2016,Arkansas,Red,Randolph,Red
143,2016,Arkansas,Red,St. Francis,Blue
144,2016,Arkansas,Red,Saline,Red
145,2016,Arkansas,Red,Scott,Red
146,2016,Arkansas,Red,Searcy,Red
147,2016,Arkansas,Red,Sebastian,Red
148,2016,Arkansas,Red,Sevier,Red
149,2016,Arkansas,Red,Sharp,Red
150,2016,Arkansas,Red,Stone,Red
151,2016,Arkansas,Red,Union,Red
152,2016,Arkansas,Red,Van Buren,Red
153,2016,Arkansas,Red,Washington,Red
154,2016,Arkansas,Red,White,Red
155,2016,Arkansas,Red,Woodruff,Red
156,2016,Arkansas,Red,Yell,Red
157,2016,California,Blue,Alameda,Blue
158,2016,California,Blue,Alpine,Blue
159,2016,California,Blue,Amador,Red
160,2016,California,Blue,Butte,Red
161,2016,California,Blue,Calaveras,Red
162,2016,California,Blue,Colusa,Red
163,2016,California,Blue,Contra Costa,Blue
164,2016,California,Blue,Del Norte,Red
165,2016,California,Blue,El Dorado,Red
166,2016,California,Blue,Fresno,Blue
167,2016,California,Blue,Glenn,Red
168,2016,California,Blue,Humboldt,Blue
169,2016,California,Blue,Imperial,Blue
